ZONE I=5, J=5
0.075 0.75 0.930998
0.1 0.75 0.927823
0 0.8 0.946806
0.025 0.8 0.94395
0.05 0.8 0.941093
0.075 0.8 0.938237
0.1 0.8 0.93538
ZONE I=5, J=5
0.1 0.6 0.905152
0.125 0.6 0.90021
0.15 0.6 0.895268
0.175 0.6 0.890326
0.2 0.6 0.885383
0.1 0.65 0.912709
0.125 0.65 0.908143
0.15 0.65 0.903578
0.175 0.65 0.899012
0.2 0.65 0.894446
0.1 0.7 0.920266
0.125 0.7 0.916077
0.15 0.7 0.911887
0.175 0.7 0.907697
0.2 0.7 0.903508
0.1 0.75 0.927823
0.125 0.75 0.92401
0.15 0.75 0.920197
0.175 0.75 0.916383
0.2 0.75 0.91257
0.1 0.8 0.93538
0.125 0.8 0.931943
0.15 0.8 0.928506
0.175 0.8 0.925069
0.2 0.8 0.921632
ZONE I=5, J=5
0.2 0.6 0.885383
0.225 0.6 0.879488
0.25 0.6 0.873593
0.275 0.6 0.867698
0.3 0.6 0.861803
0.2 0.65 0.894446
0.225 0.65 0.888992
0.25 0.65 0.883539
0.275 0.65 0.878086
0.3 0.65 0.872633
0.2 0.7 0.903508
0.225 0.7 0.898496
0.25 0.7 0.893485
0.275 0.7 0.888474
0.3 0.7 0.883463
0.2 0.75 0.91257
0.225 0.75 0.908001
0.25 0.75 0.903431
0.275 0.75 0.898862
0.3 0.75 0.894293
0.2 0.8 0.921632
0.225 0.8 0.917505
0.25 0.8 0.913377
0.275 0.8 0.90925
0.3 0.8 0.905123
ZONE I=5, J=5
0.3 0.6 0.861803
0.325 0.6 0.854801
0.35 0.6 0.847799
0.375 0.6 0.840798
0.4 0.6 0.833796
0.3 0.65 0.872633
0.325 0.65 0.866146
0.35 0.65 0.859659
0.375 0.65 0.853172
0.4 0.65 0.846685
0.3 0.7 0.883463
0.325 0.7 0.87749
0.35 0.7 0.871518
0.375 0.7 0.865546
0.4 0.7 0.859574
0.3 0.75 0.894293
0.325 0.75 0.888835
0.35 0.75 0.883378
0.375 0.75 0.87792
0.4 0.75 0.872463
0.3 0.8 0.905123
0.325 0.8 0.90018
0.35 0.8 0.895237
0.375 0.8 0.890295
0.4 0.8 0.885352
ZONE I=5, J=5
0.4 0.6 0.833796
0.425 0.6 0.825524
0.45 0.6 0.817252
0.475 0.6 0.80898
0.5 0.6 0.800709
0.4 0.65 0.846685
0.425 0.65 0.839007
0.45 0.65 0.831328
0.475 0.65 0.82365
0.5 0.65 0.815971
0.4 0.7 0.859574
0.425 0.7 0.852489
0.45 0.7 0.845404
0.475 0.7 0.838319
0.5 0.7 0.831234
0.4 0.75 0.872463
0.425 0.75 0.865972
