ZONE I=5, J=5
1 1.375 1.01264
0.75 1.5 0.997985
0.8125 1.5 0.999395
0.875 1.5 0.999897
0.9375 1.5 0.999491
1 1.5 0.998178
ZONE I=5, J=5
0 1.5 1
0.0625 1.5 0.99974
0.125 1.5 0.999466
0.1875 1.5 0.999177
0.25 1.5 0.998876
0 1.625 1
0.0625 1.625 0.999814
0.125 1.625 0.99963
0.1875 1.625 0.999447
0.25 1.625 0.999265
0 1.75 1
0.0625 1.75 0.999882
0.125 1.75 0.999773
0.1875 1.75 0.999673
0.25 1.75 0.999583
0 1.875 1
0.0625 1.875 0.999944
0.125 1.875 0.999897
0.1875 1.875 0.999858
0.25 1.875 0.999828
0 2 1
0.0625 2 1
0.125 2 1
0.1875 2 1
0.25 2 1
ZONE I=5, J=5
0.25 1.5 0.998876
0.3125 1.5 0.99863
0.375 1.5 0.998503
0.4375 1.5 0.998497
0.5 1.5 0.99861
0.25 1.625 0.999265
0.3125 1.625 0.99912
0.375 1.625 0.999029
0.4375 1.625 0.998993
0.5 1.625 0.999012
0.25 1.75 0.999583
0.3125 1.75 0.999512
0.375 1.75 0.999454
0.4375 1.75 0.999409
0.5 1.75 0.999377
0.25 1.875 0.999828
0.3125 1.875 0.999805
0.375 1.875 0.999777
0.4375 1.875 0.999744
0.5 1.875 0.999706
0.25 2 1
0.3125 2 1
0.375 2 1
0.4375 2 1
0.5 2 1
ZONE I=5, J=5
0.5 1.5 0.99861
0.5625 1.5 0.998426
0.625 1.5 0.99826
0.6875 1.5 0.998113
0.75 1.5 0.997985
0.5 1.625 0.999012
0.5625 1.625 0.998949
0.625 1.625 0.998923
0.6875 1.625 0.998934
0.75 1.625 0.998982
0.5 1.75 0.999377
0.5625 1.75 0.999386
0.625 1.75 0.999434
0.6875 1.75 0.999522
0.75 1.75 0.99965
0.5 1.875 0.999706
0.5625 1.875 0.999736
0.625 1.875 0.999793
0.6875 1.875 0.999877
0.75 1.875 0.999989
0.5 2 1
0.5625 2 1
0.625 2 1
0.6875 2 0.999999
0.75 2 0.999999
ZONE I=5, J=5
0.75 1.5 0.997985
0.8125 1.5 0.999395
0.875 1.5 0.999897
0.9375 1.5 0.999491
1 1.5 0.998178
0.75 1.625 0.998982
0.8125 1.625 0.999529
0.875 1.625 0.999749
0.9375 1.625 0.999641
1 1.625 0.999206
0.75 1.75 0.99965
0.8125 1.75 0.999675
0.875 1.75 0.999717
0.9375 1.75 0.999775
1 1.75 0.99985
0.75 1.875 0.999989
0.8125 1.875 0.999831
0.875 1.875 0.999799
0.9375 1.875 0.999892
1 1.875 1.00011
0.75 2 0.999999
0.8125 2 0.999999
0.875 2 0.999996
0.9375 2 0.999993
1 2 0.999988
